design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
87,50,0.026810684593053406,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.0065812875703497265,2
88,50,0.026810684593053406,200,60,300,0.005,0.95,1,0.75,high,38,0.006507799192731871,2
89,50,0.026810684593053406,200,60,300,0.005,0.95,1,0.75,low,38,0.006652238152271341,2
90,50,0.026810684593053406,200,60,300,0.005,0.95,1,0.75,uniform,38,0.0065812875703497265,2
91,50,0.026810684593053406,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06507799192731872,2
92,50,0.026810684593053406,200,60,300,0.05,0.95,0.75,0.75,low,38,0.0665223815227134,2
93,50,0.026810684593053406,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06581287570349727,2
94,50,0.026810684593053406,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06507799192731872,2
95,50,0.026810684593053406,200,60,300,0.05,0.95,0.8,0.75,low,38,0.0665223815227134,2
96,50,0.026810684593053406,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06581287570349727,2
97,50,0.026810684593053406,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06507799192731872,2
98,50,0.026810684593053406,200,60,300,0.05,0.95,0.85,0.75,low,38,0.0665223815227134,2
99,50,0.026810684593053406,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06581287570349727,2
100,50,0.026810684593053406,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06507799192731872,2
101,50,0.026810684593053406,200,60,300,0.05,0.95,0.9,0.75,low,38,0.0665223815227134,2
102,50,0.026810684593053406,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06581287570349727,2
103,50,0.026810684593053406,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06507799192731872,2
104,50,0.026810684593053406,200,60,300,0.05,0.95,0.95,0.75,low,38,0.0665223815227134,2
105,50,0.026810684593053406,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06581287570349727,2
