design,method,lower_error_freq,upper_error_freq,coverage
117,WprevSeSp_gamma_result,0,0,1
118,WprevSeSp,0,0,1
118,WprevSeSp_gamma_result,0,0,1
119,WprevSeSp,0,0,1
119,WprevSeSp_gamma_result,0,0,1
120,WprevSeSp,0,0,1
120,WprevSeSp_gamma_result,0,0,1
121,WprevSeSp,0,0,1
121,WprevSeSp_gamma_result,0,0,1
122,WprevSeSp,0,0,1
122,WprevSeSp_gamma_result,0,0,1
123,WprevSeSp,0,0,1
123,WprevSeSp_gamma_result,0,0,1
124,WprevSeSp,0,1e-4,0.9999
124,WprevSeSp_gamma_result,0,1e-4,0.9999
125,WprevSeSp,0,0,1
125,WprevSeSp_gamma_result,0,0,1
126,WprevSeSp,0,0,1
126,WprevSeSp_gamma_result,0,0,1
127,WprevSeSp,0,0,1
127,WprevSeSp_gamma_result,0,0,1
128,WprevSeSp,0,0,1
128,WprevSeSp_gamma_result,0,0,1
129,WprevSeSp,0,0,1
129,WprevSeSp_gamma_result,0,0,1
130,WprevSeSp,0,0,1
130,WprevSeSp_gamma_result,0,0,1
131,WprevSeSp,0,0,1
131,WprevSeSp_gamma_result,0,0,1
132,WprevSeSp,0,0,1
132,WprevSeSp_gamma_result,0,0,1
133,WprevSeSp,0,0,1
133,WprevSeSp_gamma_result,0,0,1
134,WprevSeSp,0,0,1
134,WprevSeSp_gamma_result,0,0,1
135,WprevSeSp,0,0,1
135,WprevSeSp_gamma_result,0,0,1
136,WprevSeSp,0,0,1
136,WprevSeSp_gamma_result,0,0,1
137,WprevSeSp,0,0,1
137,WprevSeSp_gamma_result,0,0,1
138,WprevSeSp,0,0,1
138,WprevSeSp_gamma_result,0,0,1
139,WprevSeSp,0,0,1
139,WprevSeSp_gamma_result,0,0,1
140,WprevSeSp,0,0,1
140,WprevSeSp_gamma_result,0,0,1
141,WprevSeSp,0,0,1
141,WprevSeSp_gamma_result,0,0,1
142,WprevSeSp,0,1e-4,0.9999
142,WprevSeSp_gamma_result,0,1e-4,0.9999
143,WprevSeSp,0,0.2,0.8
143,WprevSeSp_gamma_result,0,0.2,0.8
144,WprevSeSp,0,0,1
144,WprevSeSp_gamma_result,0,0,1
145,WprevSeSp,0,0,1
145,WprevSeSp_gamma_result,0,0,1
146,WprevSeSp,0,0,1
146,WprevSeSp_gamma_result,0,0,1
147,WprevSeSp,0,0,1
147,WprevSeSp_gamma_result,0,0,1
148,WprevSeSp,0,0,1
148,WprevSeSp_gamma_result,0,0,1
149,WprevSeSp,0,0,1
149,WprevSeSp_gamma_result,0,0,1
150,WprevSeSp,0,0,1
150,WprevSeSp_gamma_result,0,0,1
151,WprevSeSp,0,0,1
151,WprevSeSp_gamma_result,0,0,1
152,WprevSeSp,0,0,1
