design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
76,50,0.07663179162838905,200,0.05,0.25,high,12,0.18972547960618702,2
77,50,0.07663179162838905,200,0.05,0.25,low,12,0.23046217374791075,2
78,50,0.07663179162838905,200,0.05,0.25,uniform,12,0.20867417937496785,2
79,50,0.07663179162838905,200,0.05,0.5,high,25,0.09398041216745233,2
80,50,0.07663179162838905,200,0.05,0.5,low,25,0.10684348728887365,2
81,50,0.07663179162838905,200,0.05,0.5,uniform,25,0.10001644827688186,2
82,50,0.07663179162838905,200,0.05,0.75,high,38,0.06385331866550756,2
83,50,0.07663179162838905,200,0.05,0.75,low,38,0.06789222700860424,2
84,50,0.07663179162838905,200,0.05,0.75,uniform,38,0.06580487374882817,2
85,50,0.07226446783640587,200,0.05,0.1,high,5,0.44721077623787603,3
86,50,0.07226446783640587,200,0.05,0.1,low,5,0.5661700246032526,3
87,50,0.07226446783640587,200,0.05,0.1,uniform,5,0.5003336005610609,3
88,50,0.07226446783640587,200,0.05,0.25,high,12,0.19068180861878867,3
89,50,0.07226446783640587,200,0.05,0.25,low,12,0.23041998084105136,3
90,50,0.07226446783640587,200,0.05,0.25,uniform,12,0.20846365357161067,3
91,50,0.07226446783640587,200,0.05,0.5,high,25,0.09439117846648583,3
92,50,0.07226446783640587,200,0.05,0.5,low,25,0.10631749564583952,3
93,50,0.07226446783640587,200,0.05,0.5,uniform,25,0.10004418487739335,3
94,50,0.07226446783640587,200,0.05,0.75,high,38,0.0638565583941752,3
95,50,0.07226446783640587,200,0.05,0.75,low,38,0.06777059894626714,3
96,50,0.07226446783640587,200,0.05,0.75,uniform,38,0.06579290959055888,3
97,50,0.08227496420448167,200,0.05,0.1,high,5,0.4318390506733397,3
98,50,0.08227496420448167,200,0.05,0.1,low,5,0.570371809056948,3
99,50,0.08227496420448167,200,0.05,0.1,uniform,5,0.5029307044490594,3
100,50,0.08227496420448167,200,0.05,0.25,high,12,0.1870154404939056,3
101,50,0.08227496420448167,200,0.05,0.25,low,12,0.22963458129972703,3
102,50,0.08227496420448167,200,0.05,0.25,uniform,12,0.2087942242529038,3
103,50,0.08227496420448167,200,0.05,0.5,high,25,0.09393677799505938,3
104,50,0.08227496420448167,200,0.05,0.5,low,25,0.10689993927823112,3
105,50,0.08227496420448167,200,0.05,0.5,uniform,25,0.10012037142477491,3
106,50,0.08227496420448167,200,0.05,0.75,high,38,0.06391714213327698,3
107,50,0.08227496420448167,200,0.05,0.75,low,38,0.06824611876579852,3
108,50,0.08227496420448167,200,0.05,0.75,uniform,38,0.06581910606065874,3
109,50,0.09898982037296081,200,0.05,0.1,high,5,0.42695898588116177,3
110,50,0.09898982037296081,200,0.05,0.1,low,5,0.5972429376655123,3
111,50,0.09898982037296081,200,0.05,0.1,uniform,5,0.5013540271797288,3
112,50,0.09898982037296081,200,0.05,0.25,high,12,0.1848619074911306,3
113,50,0.09898982037296081,200,0.05,0.25,low,12,0.23913340660987872,3
114,50,0.09898982037296081,200,0.05,0.25,uniform,12,0.20868475134265993,3
115,50,0.09898982037296081,200,0.05,0.5,high,25,0.0924766914465298,3
116,50,0.09898982037296081,200,0.05,0.5,low,25,0.10885580808823195,3
117,50,0.09898982037296081,200,0.05,0.5,uniform,25,0.10003572675604705,3
118,50,0.09898982037296081,200,0.05,0.75,high,38,0.06321818310583649,3
119,50,0.09898982037296081,200,0.05,0.75,low,38,0.0685374806460039,3
120,50,0.09898982037296081,200,0.05,0.75,uniform,38,0.0658079147863162,3
121,50,0.10647195189051036,200,0.05,0.1,high,5,0.428487775937053,3
122,50,0.10647195189051036,200,0.05,0.1,low,5,0.6123553409111648,3
123,50,0.10647195189051036,200,0.05,0.1,uniform,5,0.4992480188828674,3
124,50,0.10647195189051036,200,0.05,0.25,high,12,0.18305369250662684,3
125,50,0.10647195189051036,200,0.05,0.25,low,12,0.24134260734057858,3
126,50,0.10647195189051036,200,0.05,0.25,uniform,12,0.2075929778404154,3
127,50,0.10647195189051036,200,0.05,0.5,high,25,0.09193398254653963,3
128,50,0.10647195189051036,200,0.05,0.5,low,25,0.10961751897104986,4
129,50,0.10647195189051036,200,0.05,0.5,uniform,25,0.0998403504502513,4
130,50,0.10647195189051036,200,0.05,0.75,high,38,0.06306556879697028,4
131,50,0.10647195189051036,200,0.05,0.75,low,38,0.06878940714009486,4
132,50,0.10647195189051036,200,0.05,0.75,uniform,38,0.06565210076842536,4
133,50,0.1218680778839867,200,0.05,0.05,high,2,0.9545655826604086,4
134,50,0.1218680778839867,200,0.05,0.1,high,5,0.40196849459766215,4
135,50,0.1218680778839867,200,0.05,0.1,low,5,0.6200581145667106,4
136,50,0.1218680778839867,200,0.05,0.1,uniform,5,0.5038116608574987,4
137,50,0.1218680778839867,200,0.05,0.25,high,12,0.1794401183357743,4
138,50,0.1218680778839867,200,0.05,0.25,low,12,0.2448168332643437,4
139,50,0.1218680778839867,200,0.05,0.25,uniform,12,0.20849929772437512,4
140,50,0.1218680778839867,200,0.05,0.5,high,25,0.09142189567348784,4
