design,method,lower_error_freq,upper_error_freq,coverage
45,AC,0.0256,0.0201,0.9543
45,CP,0.0211,0.0212,0.9577
45,wspoissonTest,0.0212,0.0208,0.958
45,wspoissonTest_midp,0.0215,0.022,0.9565
46,AC,0.0252,0.0168,0.958
46,CP,0.021,0.0168,0.9622
46,wspoissonTest,0.0211,0.0168,0.9621
46,wspoissonTest_midp,0.0217,0.0227,0.9556
47,AC,0.026,0.0191,0.9549
47,CP,0.0248,0.0191,0.9561
47,wspoissonTest,0.0249,0.0191,0.956
47,wspoissonTest_midp,0.0251,0.0278,0.9471
48,AC,0.0273,0.0194,0.9533
48,CP,0.0219,0.0222,0.9559
48,wspoissonTest,0.022,0.021,0.957
48,wspoissonTest_midp,0.0229,0.0233,0.9538
49,AC,0.0247,0.02,0.9553
49,CP,0.0189,0.0235,0.9576
49,wspoissonTest,0.019,0.0205,0.9605
49,wspoissonTest_midp,0.0247,0.0263,0.949
50,AC,0.0299,0.0209,0.9492
50,CP,0.0219,0.0217,0.9564
50,wspoissonTest,0.0219,0.0216,0.9565
50,wspoissonTest_midp,0.0226,0.0217,0.9557
51,AC,0.0266,0.022,0.9514
51,CP,0.0211,0.0233,0.9556
51,wspoissonTest,0.0211,0.0225,0.9564
51,wspoissonTest_midp,0.0224,0.0244,0.9532
52,AC,0.0277,0.0207,0.9516
52,CP,0.0212,0.0208,0.958
52,wspoissonTest,0.0212,0.0207,0.9581
52,wspoissonTest_midp,0.0257,0.0257,0.9486
53,AC,0.0261,0.0177,0.9562
53,CP,0.0205,0.0178,0.9617
53,wspoissonTest,0.0205,0.0177,0.9618
53,wspoissonTest_midp,0.0259,0.0229,0.9512
54,AC,0.0258,0.0229,0.9513
54,CP,0.0212,0.0245,0.9543
54,wspoissonTest,0.0213,0.024,0.9547
54,wspoissonTest_midp,0.0224,0.0264,0.9512
55,AC,0.0097,0.0118,0.9785
55,CP,0.006,0.0118,0.9822
55,wspoissonTest,0.006,0.0118,0.9822
55,wspoissonTest_midp,0.0097,0.0118,0.9785
56,AC,0.0133,0.0123,0.9744
