design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
97,50,0.053236976722873884,200,0.005,0.1,high,5,0.05521074817714317,2
98,50,0.053236976722873884,200,0.005,0.1,low,5,0.045885539029009687,2
99,50,0.053236976722873884,200,0.005,0.1,uniform,5,0.05001027689027272,2
100,50,0.053236976722873884,200,0.005,0.25,high,12,0.022379338818790444,2
101,50,0.053236976722873884,200,0.005,0.25,low,12,0.019517456082477645,2
102,50,0.053236976722873884,200,0.005,0.25,uniform,12,0.02083483502616116,2
103,50,0.053236976722873884,200,0.005,0.5,high,25,0.010421760597538346,2
104,50,0.053236976722873884,200,0.005,0.5,low,25,0.009611048302529407,2
105,50,0.053236976722873884,200,0.005,0.5,uniform,25,0.010001885545895081,2
106,50,0.053236976722873884,200,0.005,0.75,high,38,0.006722064792754885,2
107,50,0.053236976722873884,200,0.005,0.75,low,38,0.006438489706695294,3
108,50,0.053236976722873884,200,0.005,0.75,uniform,38,0.006582627917712238,3
109,50,0.07663179162838905,200,0.005,0.02,high,1,0.3005939890764108,3
110,50,0.07663179162838905,200,0.005,0.02,low,1,0.21637653743074334,3
111,50,0.07663179162838905,200,0.005,0.02,uniform,1,0.24568688154989551,3
112,50,0.07663179162838905,200,0.005,0.05,high,2,0.14760461965131877,3
113,50,0.07663179162838905,200,0.005,0.05,low,2,0.10835121898004747,3
114,50,0.07663179162838905,200,0.005,0.05,uniform,2,0.1251274704080575,3
115,50,0.07663179162838905,200,0.005,0.1,high,5,0.05690984619708563,3
116,50,0.07663179162838905,200,0.005,0.1,low,5,0.04396551824170004,3
117,50,0.07663179162838905,200,0.005,0.1,uniform,5,0.05000889915011212,3
118,50,0.07663179162838905,200,0.005,0.25,high,12,0.023046217374791074,3
119,50,0.07663179162838905,200,0.005,0.25,low,12,0.018972547960618702,3
120,50,0.07663179162838905,200,0.005,0.25,uniform,12,0.020867417937496784,3
121,50,0.07663179162838905,200,0.005,0.5,high,25,0.010684348728887363,3
122,50,0.07663179162838905,200,0.005,0.5,low,25,0.009398041216745232,3
123,50,0.07663179162838905,200,0.005,0.5,uniform,25,0.009993206912959473,3
124,50,0.07663179162838905,200,0.005,0.75,high,38,0.006789222700860424,3
125,50,0.07663179162838905,200,0.005,0.75,low,38,0.006385331866550755,3
126,50,0.07663179162838905,200,0.005,0.75,uniform,38,0.006580487374882817,3
127,50,0.07226446783640587,200,0.005,0.02,high,1,0.29284425726668334,3
128,50,0.07226446783640587,200,0.005,0.02,low,1,0.21519409504828732,3
129,50,0.07226446783640587,200,0.005,0.02,uniform,1,0.2502512342759424,3
130,50,0.07226446783640587,200,0.005,0.05,high,2,0.14416040738358046,3
131,50,0.07226446783640587,200,0.005,0.05,low,2,0.1091832108263881,3
132,50,0.07226446783640587,200,0.005,0.05,uniform,2,0.12489880959246276,3
133,50,0.07226446783640587,200,0.005,0.1,high,5,0.056617002460325264,3
134,50,0.07226446783640587,200,0.005,0.1,low,5,0.0447210776237876,3
135,50,0.07226446783640587,200,0.005,0.1,uniform,5,0.050014583813974646,3
136,50,0.07226446783640587,200,0.005,0.25,high,12,0.023041998084105137,3
137,50,0.07226446783640587,200,0.005,0.25,low,12,0.019068180861878864,3
138,50,0.07226446783640587,200,0.005,0.25,uniform,12,0.020846365357161067,3
139,50,0.07226446783640587,200,0.005,0.5,high,25,0.010631749564583952,3
140,50,0.07226446783640587,200,0.005,0.5,low,25,0.009439117846648581,3
141,50,0.07226446783640587,200,0.005,0.5,uniform,25,0.010003667550833263,3
