design,method,lower_error_freq,upper_error_freq,coverage
48,wspoissonTest_midp,0.0217,0.0195,0.9588
49,AC,0.0021,0.0034,0.9945
49,CP,0.0015,0.0034,0.9951
49,wspoissonTest,0.0016,0.0033,0.9951
49,wspoissonTest_midp,0.002,0.0036,0.9944
50,AC,0.0012,0.0011,0.9977
50,CP,9e-4,0.0011,0.998
50,wspoissonTest,9e-4,9e-4,0.9982
50,wspoissonTest_midp,0.0012,0.0012,0.9976
51,AC,0.0031,0.0026,0.9943
51,CP,0.0028,0.0026,0.9946
51,wspoissonTest,0.0029,0.0025,0.9946
51,wspoissonTest_midp,0.0031,0.0029,0.994
52,AC,0.0145,0.0136,0.9719
52,CP,0.0126,0.0136,0.9738
52,wspoissonTest,0.0131,0.0135,0.9734
52,wspoissonTest_midp,0.0138,0.0143,0.9719
53,AC,0.0123,0.0129,0.9748
53,CP,0.0105,0.0128,0.9767
53,wspoissonTest,0.0107,0.012,0.9773
53,wspoissonTest_midp,0.0119,0.0134,0.9747
54,AC,0.0132,0.013,0.9738
54,CP,0.0125,0.0129,0.9746
54,wspoissonTest,0.0125,0.0129,0.9746
54,wspoissonTest_midp,0.013,0.0137,0.9733
55,AC,0.0215,0.0205,0.958
55,CP,0.0195,0.0204,0.9601
55,wspoissonTest,0.0198,0.0201,0.9601
55,wspoissonTest_midp,0.0207,0.0214,0.9579
56,AC,0.0198,0.0176,0.9626
56,CP,0.0182,0.0176,0.9642
56,wspoissonTest,0.0183,0.017,0.9647
56,wspoissonTest_midp,0.0188,0.0185,0.9627
57,AC,0.0192,0.018,0.9628
57,CP,0.0176,0.018,0.9644
57,wspoissonTest,0.0178,0.0176,0.9646
57,wspoissonTest_midp,0.0186,0.0188,0.9626
58,AC,0.023,0.02,0.957
58,CP,0.0203,0.02,0.9597
58,wspoissonTest,0.0204,0.0195,0.9601
58,wspoissonTest_midp,0.0224,0.0206,0.957
59,AC,0.0213,0.0198,0.9589
59,CP,0.019,0.0198,0.9612
59,wspoissonTest,0.019,0.0194,0.9616
59,wspoissonTest_midp,0.0205,0.0201,0.9594
60,AC,0.0218,0.0202,0.958
60,CP,0.02,0.0201,0.9599
60,wspoissonTest,0.0203,0.0191,0.9606
60,wspoissonTest_midp,0.0213,0.0214,0.9573
61,AC,0.0039,0.0043,0.9918
61,CP,0.0034,0.0043,0.9923
61,wspoissonTest,0.0034,0.0042,0.9924
61,wspoissonTest_midp,0.0038,0.0046,0.9916
62,AC,0.0016,0.0011,0.9973
62,CP,0.0015,0.0011,0.9974
62,wspoissonTest,0.0015,0.001,0.9975
62,wspoissonTest_midp,0.0016,0.0011,0.9973
63,AC,0.0033,0.0028,0.9939
63,CP,0.0024,0.0027,0.9949
63,wspoissonTest,0.0026,0.0026,0.9948
63,wspoissonTest_midp,0.0027,0.003,0.9943
64,AC,0.015,0.0139,0.9711
64,CP,0.0134,0.0139,0.9727
64,wspoissonTest,0.0137,0.0137,0.9726
64,wspoissonTest_midp,0.0145,0.0146,0.9709
65,AC,0.0117,0.0133,0.975
65,CP,0.0102,0.0131,0.9767
65,wspoissonTest,0.0103,0.0125,0.9772
65,wspoissonTest_midp,0.0112,0.0134,0.9754
66,AC,0.0141,0.015,0.9709
66,CP,0.0128,0.015,0.9722
66,wspoissonTest,0.013,0.0145,0.9725
66,wspoissonTest_midp,0.0136,0.0159,0.9705
67,AC,0.0207,0.0169,0.9624
67,CP,0.0187,0.0169,0.9644
67,wspoissonTest,0.0189,0.0167,0.9644
67,wspoissonTest_midp,0.0202,0.0178,0.962
68,AC,0.0192,0.0168,0.964
68,CP,0.0178,0.0168,0.9654
68,wspoissonTest,0.0182,0.016,0.9658
68,wspoissonTest_midp,0.019,0.0175,0.9635
69,AC,0.0191,0.0171,0.9638
69,CP,0.017,0.0171,0.9659
69,wspoissonTest,0.0174,0.0168,0.9658
69,wspoissonTest_midp,0.0181,0.0179,0.964
70,AC,0.0211,0.0213,0.9576
70,CP,0.0197,0.0213,0.959
70,wspoissonTest,0.0199,0.0207,0.9594
70,wspoissonTest_midp,0.0207,0.0221,0.9572
71,AC,0.0215,0.0215,0.957
71,CP,0.019,0.0214,0.9596
71,wspoissonTest,0.019,0.0206,0.9604
71,wspoissonTest_midp,0.0209,0.022,0.9571
72,AC,0.023,0.0199,0.9571
72,CP,0.0207,0.0198,0.9595
72,wspoissonTest,0.021,0.0193,0.9597
72,wspoissonTest_midp,0.0224,0.0212,0.9564
73,AC,0.0052,0.0053,0.9895
73,CP,0.0044,0.0053,0.9903
73,wspoissonTest,0.0045,0.0053,0.9902
73,wspoissonTest_midp,0.0049,0.0059,0.9892
74,AC,0.0015,0.0013,0.9972
74,CP,0.0014,0.0013,0.9973
74,wspoissonTest,0.0014,0.0012,0.9974
74,wspoissonTest_midp,0.0015,0.0016,0.9969
75,AC,0.0019,0.0036,0.9945
75,CP,0.0014,0.0035,0.9951
75,wspoissonTest,0.0014,0.0035,0.9951
75,wspoissonTest_midp,0.0019,0.0038,0.9943
76,AC,0.0155,0.0129,0.9716
76,CP,0.0135,0.0129,0.9736
76,wspoissonTest,0.0136,0.0127,0.9737
76,wspoissonTest_midp,0.0152,0.0135,0.9713
77,AC,0.0129,0.0107,0.9764
77,CP,0.0117,0.0106,0.9777
77,wspoissonTest,0.0118,0.0099,0.9783
77,wspoissonTest_midp,0.0127,0.0111,0.9762
78,AC,0.0119,0.0135,0.9746
78,CP,0.011,0.0135,0.9755
78,wspoissonTest,0.011,0.0134,0.9756
