design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20865,wspoissonTest_midp,0.001567479002745188,0.028806882418381304,0.027239403415636115,0.0128,0,0.9872
20866,AC,0.001406199573622292,0.013746863474730513,0.012340663901108223,0.0112,0.1141,0.8747
20866,CP,0.001385428425585936,0.013156565593308168,0.011771137167722233,0.0064,0.1241,0.8695
20866,wspoissonTest,0.001390896588120928,0.033647035848191766,0.032256139260070836,0.0064,0,0.9936
20866,wspoissonTest_midp,0.0015706100978625246,0.028922774008052588,0.027352163910190064,0.0126,0,0.98740000000000006
20867,AC,0.0014463403461225236,0.01363328066220272,0.012186940316080197,0.0149,0.1128,0.8723
20867,CP,0.0014153301502356013,0.01305856415820474,0.011643234007969138,0.0095,0.1233,0.8672
20867,wspoissonTest,0.0014207725293268675,0.033613146991933726,0.03219237446260686,0.0099,0,0.9901
20867,wspoissonTest_midp,0.0015993362496566016,0.028896293330610265,0.027296957080953664,0.0163,0,0.9837
20868,AC,0.0013877675697610663,0.013566207103532112,0.012178439533771046,0.0118,0.1141,0.8741
20868,CP,0.0013669459974148452,0.012983706049787276,0.011616760052372431,0.0074,0.1282,0.8644
20868,wspoissonTest,0.0013723322447291872,0.03357223560847028,0.032199903363741095,0.0077,0,0.9923
20868,wspoissonTest_midp,0.0015492574457396705,0.028844970819776484,0.02729571337403681,0.0137,0,0.9863
20869,AC,0.004567191683478794,0.005474004268635995,9.068125851572007e-4,8e-4,0.0011,0.9981
20869,CP,0.004557809121259389,0.005473820096470771,9.16010975211383e-4,5e-4,0.0011,0.9984
20869,wspoissonTest,0.004557906117715595,0.03203789448876882,0.027479988371053227,5e-4,0,0.9995
20869,wspoissonTest_midp,0.003155596174002466,0.027751813479216587,0.02459621730521412,0,0,1
20870,AC,0.0013970058194712192,0.013514845033078262,0.012117839213607044,0.012,0.1121,0.8759
20870,CP,0.0013733278191475173,0.012936878216920873,0.011563550397773355,0.0062,0.1236,0.8702
20870,wspoissonTest,0.001378598984197254,0.0335316885028004,0.03215308951860314,0.0066,0,0.9934
20870,wspoissonTest_midp,0.0015543760247444447,0.028809359045060462,0.02725498302031602,0.0134,0,0.9866
20871,AC,0.03013765958792048,0.08107343875576824,0.05093577916784775,0.0184,0.017,0.9646
20871,CP,0.02852257761155443,0.0807254752484207,0.05220289763686627,0.0119,0.0197,0.9684
20871,wspoissonTest,0.028731465224965193,0.09003844189363557,0.06130697666867037,0.0123,6e-4,0.9871
20871,wspoissonTest_midp,0.03020221536841508,0.08543137952901796,0.05522916416060288,0.0186,0.0037,0.9777
20872,AC,0.032321048225182704,0.0761869651303346,0.04386591690515189,0.0199,0.0236,0.9565
20872,CP,0.030960919886001616,0.07597656528001738,0.04501564539401577,0.0124,0.0256,0.962
20872,wspoissonTest,0.031129989555768615,0.0868579264738253,0.05572793691805668,0.0134,2e-4,0.9864
20872,wspoissonTest_midp,0.03242665893008131,0.08234742981045653,0.04992077088037523,0.0208,0.0022,0.977
20873,AC,0.033715362582983015,0.07334937168621897,0.03963400910323595,0.0167,0.0357,0.9476
20873,CP,0.032522621849350626,0.07320377371736647,0.04068115186801584,0.0099,0.0365,0.9536
20873,wspoissonTest,0.03266821916705635,0.08503229835153191,0.052364079184475554,0.0113,4e-4,0.9883
20873,wspoissonTest_midp,0.033830659902193354,0.0806227505163653,0.046792090614171944,0.0184,0.0016,0.98
